,method,s,N,k,iter,error,diff_max,time
121,WMI,20,1999,1,41,1.5785821891503182e-15,8.881784197001252e-16,2.2299995180219412e-05
122,ISM,20,1999,1,41,1.5786090522882035e-15,8.881784197001252e-16,1.7699989257380366e-05
123,DI,20,1999,1,42,1.2669572600062368e-15,8.881784197001252e-16,0.0001618000096641481
124,WMI,20,1999,1,42,1.5785821891503182e-15,8.881784197001252e-16,3.5200006095692515e-05
125,ISM,20,1999,1,42,1.5786090522882035e-15,8.881784197001252e-16,3.819999983534217e-05
126,DI,20,1999,1,43,1.2669572600062368e-15,8.881784197001252e-16,0.00016830000095069408
127,WMI,20,1999,1,43,1.5785821891503182e-15,8.881784197001252e-16,1.3200013199821115e-05
128,ISM,20,1999,1,43,1.5786090522882035e-15,8.881784197001252e-16,1.0799994925037026e-05
129,DI,20,1999,1,44,1.2669572600062368e-15,8.881784197001252e-16,0.00014009998994879425
130,WMI,20,1999,1,44,1.5785821891503182e-15,8.881784197001252e-16,3.580001066438854e-05
131,ISM,20,1999,1,44,1.5786090522882035e-15,8.881784197001252e-16,2.81000102404505e-05
132,DI,20,1999,1,45,1.2669572600062368e-15,8.881784197001252e-16,0.00014479999663308263
133,WMI,20,1999,1,45,1.5785821891503182e-15,8.881784197001252e-16,2.0500010577961802e-05
134,ISM,20,1999,1,45,1.5786090522882035e-15,8.881784197001252e-16,1.7200014553964138e-05
135,DI,20,1999,1,46,1.2669572600062368e-15,8.881784197001252e-16,0.00015529998927377164
136,WMI,20,1999,1,46,1.5785821891503182e-15,8.881784197001252e-16,3.630001447163522e-05
137,ISM,20,1999,1,46,1.5786090522882035e-15,8.881784197001252e-16,2.8199981898069382e-05
138,DI,20,1999,1,47,1.2669572600062368e-15,8.881784197001252e-16,0.00017140002455562353
139,WMI,20,1999,1,47,1.5785821891503182e-15,8.881784197001252e-16,1.3199984095990658e-05
140,ISM,20,1999,1,47,1.5786090522882035e-15,8.881784197001252e-16,1.0399991879239678e-05
141,DI,20,1999,1,48,1.2669572600062368e-15,8.881784197001252e-16,0.00013349999790079892
142,WMI,20,1999,1,48,1.5785821891503182e-15,8.881784197001252e-16,3.5900011425837874e-05
143,ISM,20,1999,1,48,1.5786090522882035e-15,8.881784197001252e-16,2.81000102404505e-05
144,DI,20,1999,1,49,1.2669572600062368e-15,8.881784197001252e-16,0.00016450000111944973
145,WMI,20,1999,1,49,1.5785821891503182e-15,8.881784197001252e-16,1.990000600926578e-05
146,ISM,20,1999,1,49,1.5786090522882035e-15,8.881784197001252e-16,1.71000137925148e-05
147,DI,20,1999,1,50,1.2669572600062368e-15,8.881784197001252e-16,0.00015089998487383127
148,WMI,20,1999,1,50,1.5785821891503182e-15,8.881784197001252e-16,2.1100015146657825e-05
149,ISM,20,1999,1,50,1.5786090522882035e-15,8.881784197001252e-16,1.789999078027904e-05
150,DI,20,1999,1,51,1.2669572600062368e-15,8.881784197001252e-16,0.0001330000231973827
151,WMI,20,1999,1,51,1.5785821891503182e-15,8.881784197001252e-16,1.2500007869675756e-05
152,ISM,20,1999,1,51,1.5786090522882035e-15,8.881784197001252e-16,9.99998883344233e-06
153,DI,20,1999,1,52,1.2669572600062368e-15,8.881784197001252e-16,0.00013119998038746417
154,WMI,20,1999,1,52,1.5785821891503182e-15,8.881784197001252e-16,3.5699980799108744e-05
155,ISM,20,1999,1,52,1.5786090522882035e-15,8.881784197001252e-16,2.8300011763349175e-05
156,DI,20,1999,1,53,1.2669572600062368e-15,8.881784197001252e-16,0.00015959999291226268
157,WMI,20,1999,1,53,1.5785821891503182e-15,8.881784197001252e-16,2.020000829361379e-05
158,ISM,20,1999,1,53,1.5786090522882035e-15,8.881784197001252e-16,8.330002310685813e-05
159,DI,20,1999,1,54,1.2669572600062368e-15,8.881784197001252e-16,0.00031889998354017735
160,WMI,20,1999,1,54,1.5785821891503182e-15,8.881784197001252e-16,2.540001878514886e-05
161,ISM,20,1999,1,54,1.5786090522882035e-15,8.881784197001252e-16,1.9500002963468432e-05
162,DI,20,1999,1,55,1.2669572600062368e-15,8.881784197001252e-16,0.00013020000187680125
163,WMI,20,1999,1,55,1.5785821891503182e-15,8.881784197001252e-16,2.2499996703118086e-05
164,ISM,20,1999,1,55,1.5786090522882035e-15,8.881784197001252e-16,1.650000922381878e-05
165,DI,20,1999,1,56,1.2669572600062368e-15,8.881784197001252e-16,8.689999231137335e-05
166,WMI,20,1999,1,56,1.5785821891503182e-15,8.881784197001252e-16,1.7000013031065464e-05
167,ISM,20,1999,1,56,1.5786090522882035e-15,8.881784197001252e-16,1.2500007869675756e-05
168,DI,20,1999,1,57,1.2669572600062368e-15,8.881784197001252e-16,0.00015869998605921865
169,WMI,20,1999,1,57,1.5785821891503182e-15,8.881784197001252e-16,3.4900003811344504e-05
170,ISM,20,1999,1,57,1.5786090522882035e-15,8.881784197001252e-16,2.6900001103058457e-05
171,DI,20,1999,1,58,1.2669572600062368e-15,8.881784197001252e-16,0.00015059998258948326
172,WMI,20,1999,1,58,1.5785821891503182e-15,8.881784197001252e-16,3.470000228844583e-05
173,ISM,20,1999,1,58,1.5786090522882035e-15,8.881784197001252e-16,2.6900001103058457e-05
174,DI,20,1999,1,59,1.2669572600062368e-15,8.881784197001252e-16,0.00025189999723806977
175,WMI,20,1999,1,59,1.5785821891503182e-15,8.881784197001252e-16,2.4100008886307478e-05
176,ISM,20,1999,1,59,1.5786090522882035e-15,8.881784197001252e-16,1.920000067912042e-05
177,DI,20,1999,1,60,1.2669572600062368e-15,8.881784197001252e-16,0.00014089999604038894
178,WMI,20,1999,1,60,1.5785821891503182e-15,8.881784197001252e-16,1.960000372491777e-05
179,ISM,20,1999,1,60,1.5786090522882035e-15,8.881784197001252e-16,1.650000922381878e-05
180,DI,20,1999,1,61,1.2669572600062368e-15,8.881784197001252e-16,0.00013149998267181218
181,WMI,20,1999,1,61,1.5785821891503182e-15,8.881784197001252e-16,2.099998528137803e-05
182,ISM,20,1999,1,61,1.5786090522882035e-15,8.881784197001252e-16,3.29999893438071e-05
183,DI,20,1999,1,62,1.2669572600062368e-15,8.881784197001252e-16,0.0001618000096641481
184,WMI,20,1999,1,62,1.5785821891503182e-15,8.881784197001252e-16,3.630001447163522e-05
185,ISM,20,1999,1,62,1.5786090522882035e-15,8.881784197001252e-16,2.6699999580159783e-05
186,DI,20,1999,1,63,1.2669572600062368e-15,8.881784197001252e-16,0.0002136999974027276
187,WMI,20,1999,1,63,1.5785821891503182e-15,8.881784197001252e-16,1.8600025214254856e-05
188,ISM,20,1999,1,63,1.5786090522882035e-15,8.881784197001252e-16,1.4100020052865148e-05
189,DI,20,1999,1,64,1.2669572600062368e-15,8.881784197001252e-16,0.0001430999836884439
190,WMI,20,1999,1,64,1.5785821891503182e-15,8.881784197001252e-16,1.2800010154023767e-05
191,ISM,20,1999,1,64,1.5786090522882035e-15,8.881784197001252e-16,1.09999964479357e-05
192,DI,20,1999,1,65,1.2669572600062368e-15,8.881784197001252e-16,0.0001336999994236976
193,WMI,20,1999,1,65,1.5785821891503182e-15,8.881784197001252e-16,2.2899999748915434e-05
194,ISM,20,1999,1,65,1.5786090522882035e-15,8.881784197001252e-16,1.819999306462705e-05
195,DI,20,1999,1,66,1.2669572600062368e-15,8.881784197001252e-16,0.00014170000213198364
196,WMI,20,1999,1,66,1.5785821891503182e-15,8.881784197001252e-16,1.810002140700817e-05
197,ISM,20,1999,1,66,1.5786090522882035e-15,8.881784197001252e-16,1.470002462156117e-05
198,DI,20,1999,1,67,1.2669572600062368e-15,8.881784197001252e-16,0.0001534000039100647
199,WMI,20,1999,1,67,1.5785821891503182e-15,8.881784197001252e-16,3.510000533424318e-05
200,ISM,20,1999,1,67,1.5786090522882035e-15,8.881784197001252e-16,4.859999171458185e-05
201,DI,20,1999,1,68,1.2669572600062368e-15,8.881784197001252e-16,0.000149500003317371
202,WMI,20,1999,1,68,1.5785821891503182e-15,8.881784197001252e-16,1.2400007108226418e-05
203,ISM,20,1999,1,68,1.5786090522882035e-15,8.881784197001252e-16,9.99998883344233e-06
204,DI,20,1999,1,69,1.2669572600062368e-15,8.881784197001252e-16,0.0001351000100839883
